local_site_name,count
"MULTORPOR-Ski Bowl, Mt. Hood Wilderness",577
Mazatzal Wilderness - Ike's Backbone,572
Lava Beds National Monument,572
James Town Mobile,553
EAGLE MOUNTAIN,547
Fort Laramie National Historic Site,541
Yosemite National Park - Glacier Point,540
University Medical Center,537
Kaiser Wilderness,529
Mono Shore,524
Trinity,512
Bridger Coal JB-2 Meteorological Station,511
Water Tower,500
Riverton Mobile,500
Tata Gaseous,492
UTM COORDINATES = BASE OF WIND TOWER,492
Aqua Tibia Wilderness,491
Newcastle Mobile,475
"OLD DOVER HIGHWAY CADIZ,KY",465
Oakland-International Blvd.,459
"ST JOHNS ROAD QUAKER CITY, OH",456
NARSTO SITE ARENDTSVILLE,456
Connecticut Hill,456
WAVERLY AIRPORT SITE,453
HILLSIDE,451
Mojave - CA 58 Business,436
Gillette Mobile,434
Jackson Mobile,432
Hoover Wilderness,430
Pavillion,430
TOP OF APARTMENT BUILDING - 36 METERS FROM ROUTE 2 (MAIN STREET),428
Casper Mobile,421
Cody Mobile,417
Lovell Mobile,412
"MET SITE FOR A BACKGROUND MERCURY SITE, TOWER LOCATED IN OPEN FIELD",409
MILWAUKEE HAVENWOODS,407
Rock Springs - Mobile #1,395
Guadalupe Mountains National Park - Maintenance Area,394
Lone Pine,394
WITHIN ST. MARKS WILDLIFE REFUGE AT THE WORK STATION,393
"Vogelaar Park, Glenwood Springs",393
Signal Hill (LBSH),393
Pulp Mill Road,389
Saguaro National Park - West,386
BEAVER ISLAND STATE PARK,385
Sheridan Mobile,384
"Sequoia and Kings Canyon National Parks, Ash Mountain",383
Isla Blanca Park,382
North Hollywood (NOHO),381
Lebec,375
Great Plains State Park,373
Seedskadee,372
Cheyenne Mobile,372
Red Leaf Met,365
Torrington Mobile,365
SEATTLE - DUWAMISH,365
Laramie Mobile,365
Lucerne Valley-Middle School,364
Graymont Indian creek 50-m Met Station,362
City of Rocks NR - Juniper Campground,362
TRIWEST HIGH SCHOOL --- QUALITECH_DOWNWIND SITE,359
"Wind Cave National Park, Visitor Center",352
"Vernon St, Pawtucket",343
LOCATED ON ROOF OF ZOOFARI BUILDING ON MILWAUKEE CNTY ZOO GROUNDS,343
NW OF BORDER HWY IN ASCARATE PARK,342
Beaver Creek Air Quality Station,335
Rutgers University,329
JOHNSON AND WALES,323
109 BUCKLIN STREET,312
Glacier NP - Saint Mary's Ranger District,304
Padre Island NS - Malaquite Visitor Center,282
Vancouver-River Rd,262
"1 HERRING CREEK RD, AQUINNAH (WAMPANOAG TRIBAL SITE)",254
ORGAN PIPE NM,254
Boundary Waters,243
Blue Mounds,243
Gasquet,243
Great River Bluffs,243
Guadalupe Mountain NP - Federal Aviation Administration,243
Laramie I-80 Mobile,219
SF-USD,197
MUSCATINE HS - East Campus School Roof,191
Eagle Pass,189
Lyndon B. Johnson NMP - Hay Barn,186
North Pole Fire Station #3,181
East Orange,181
Chippewa,181
Abraham Lincoln Birthplace NHP - Visitor's Center,171
Kemmerer Mobile,171
Kings Mountain NMP - RAWS Station,169
Alsup Elementry School - Commerce City,169
COM ED MAINTENANCE BLDG,162
LOCATED IN PENTHOUSE ATOP CUSTOMS BUILDING,142
San Antonio Northwest,133
CAP SITE,127
SAN BERNADINO AIRPORT (NORTON AFB),122
JCG: Jonesport Coast Guard,120
Sequoia NP-Lower Kaweah,116
EL MONTE AIRPORT - PROFILER FOR SCOS97,110
Stockton - University Park,106
Yosemite National Park - Mobile 1,103
AGRICULTURAL SITE APPROX 150 YDS FROM INTERSECTION ARB SITE #16-718,102
Yosemite National Park - Mobile 2,95
Bayview Ferry,92
Rockwell,92
Ted Walker Park,90
Chickasaw Nation storage lot,90
Inland Port,90
Taft NCore PAMS,90
APPLE VALLEY SPECIAL PURPOSE MET PROFILER SITE,86
BARSTOW/DAGGETT SPECIAL PURPOSE MET PROFILIER SITE,86
ROVER STUDY FROM SCOS97,77
SITE @ MERCED COUNTY ADULT CORRECTIONAL FACILITY-NW CORNER OF JAIL,76
DOUGLAS RED CROSS,71
PSI/ Duke Energy  Gibson Network- Gibson Tower,61
Cooley,59
GT Craig NCore PAMS,59
IS 52,51
Blue Lake Rancheria,41
DENVER MUNICIPAL ANIMAL SHELTER,37
PLACERVILLE- CANAL STREET,30
