local_site_name,count
Berkeley,2236
2ZR SITE MOVED FROM RIO RANCHO CITY HALL TO SENIOR CENTER,2234
Butner,2214
Grass Valley-Litton Building,2210
Crouse,2190
HENDERSON CENTER/MARSHALL UNIVERSITY - MOVED FROM WATER CO. 5/98,2183
TONTO NM,2174
Franklinton,2173
Leonia,2170
Durrett Lane (Near Road),2168
FT MEADE LAT/LONG POINT IS OF THE SAMPLING INLET,2167
Trona-Athol,2148
"TVA PSD SITE IN COFFEE COUNTY, TN",2147
AK STEEL_SPENCER COUNTY,2147
Huntley Place-Hartford,2142
Baltimore County Near Road,2132
Military Park (GHIB),2122
MUSKOGEE WATER TREATMENT PLANT,2121
MONITOR LOCATED 180 FEET NORTH EAST OF LAGOON,2118
NW OF BORDER HWY IN ASCARATE PARK,2118
ALAMO LAKE,2112
Queens College Near Road,2103
HUNTSVILLE OLD AIRPORT,2095
JENKINS AVE. FIRE STATION,2093
6259 COUNTY 15,2083
CYPRESS RIVER AIRPORT SITE SPM CAMS 50,2077
Wyoming Range,2070
Incline,2068
Union Cross,2066
Vernal,2060
"Fairplay, Colorado",2054
Northampton County,2050
East Orange,2005
Mesquite,2003
ROCKY FLATS -W,2001
TEANECK,1992
HARRINGTON BEACH PARK,1968
MARBLE CITY SHELTER,1964
Cherry Grove,1962
Boulder City,1951
El Dorado Springs,1936
Mira Loma (Bellegrave),1933
Monroeville,1931
San Pablo - El Portal Center,1927
COGGON ELEMENTARY SCHOOL BLDG. NORTHERN LIMITS OF LINN COUNTY,1909
PORTSMOUTH - PEIRCE ISLAND,1898
San Jose-W. San Carlos St.,1894
????,1854
Utah Technical Center,1836
GREENPOINT,1827
CPS Pecan Valley,1816
MAYVILLE,1786
San Diego - Sherman Elementary School,1760
Rocklin,1742
2850 E. Charleston,1732
WSDOT FACILITY 6431 CORSON AVE S (GEORGETOWN) SEATTLE,1730
Yellowstone National Park - Old Faithful Snow Lodge,1720
Converse County - Mobile #2,1708
Enochville School,1692
CORLETT SCHOOL,1658
Yosemite National Park - Merced River Site,1646
Simmons Park,1613
A420950017LAT/LONG POINT IS OF SAMPLING INLET,1599
Floresville Hospital Boulevard,1586
Karnes County,1586
PFLIGERVILLE WASTEWATER,1549
SW OF PILGRIM & PANDA INTERSECTION,1527
CENTRAL,1525
SHELTER IS IN A FLAT GRASSY AREA NEAR USGS ACID DEPOSITION EQUIPMENT,1524
Platteville Atmospheric Observatory,1515
"TVA PSD SITE IN DICKSON COUNTY, TN",1504
Sinclair-Mobile #2,1504
"Lewes SPM SITE, NEAR UD ACID RAIN/MERCURY COLLECTORS",1504
LAT/LONG POINT IS OF SAMPLING INLET.................................,1496
El Cajon - Floyd Smith Dr.,1494
"TVA PSD SITE 19.8 MILES NE OF CLARKSVILLE, TN (NEAR GUTHRIE, KY)",1484
FRENCHTOWN (L-P),1471
YUMA GAME & FISH,1466
North Hollywood (NOHO),1452
Signal Hill (LBSH),1450
Jenison,1448
Meigs County Ozone monitor,1446
SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE,1427
MERCER COUNTY IS A SPMS CAFO SITE ESTABLISHED 1/01/00.,1422
Parker County,1421
CONROE AIRPORT; SE OF OAKTREE & AIRPORT RD INTERSECTION,1420
Lake Park,1384
.7 MILES E FROM OLD SITE ON S SIDE OF ST CHAS ROCK RD.,1357
ROUND UP - BULL MOUNTAIN POWER PROJECT,1341
Rocky Creek,1336
"ON S. EDGE OF UNUSED PARKING LOT, S. OF HWY. 72 (18000 W. HWY. 72)",1286
Benicia - VIP,1282
Laramie County Mobile,1248
Julian B. Lane Park,1220
"TENNESSEE VALLEY AUTHORITY PSD SITE IN BRADLEY COUNTY, TN",1213
KING CITY AMS,1189
North Mojave,1171
NORTH EAST OF BASIN F COLOCATED WITH MET 4,1146
University Medical Center,1144
NEAR ENID CITY MAINTENANCE COMPLEX,1143
James Town Mobile,1106
Fuquay-Varina,1081
"E. OF WASHINGTON SCHOOL, 1.7 MILES NORTH OF HIWAY 16",1081
Shreveport / Airport,1066
Oakland-International Blvd.,1064
Evans,1053
WEST OF WARD & WYATT RD. INTERSECTION,1048
Lee District Park,1047
Bethany sch.,1044
Belvedere Road,1036
Brigham City,1030
"TVA PSD SITE IN PUTNAM COUNTY, TN",1014
W1-SAND DRAW-01,1014
COMMUNITY HEALTH SERVICES (CHS),1008
Riverton Mobile,1000
DENVER MUNICIPAL ANIMAL SHELTER,988
UTM COORDINATES = INLET PROBE LOCATION ON ROOF OF BUILDING,979
TVA PSD SITE 15 KM E FROM KINGSTON STEAM PLANT,978
G.T. BRAY PARK,974
BAXTER (BAX),961
Pittsboro,951
SPA - Irving St.,940
Newcastle Mobile,912
SITE IS IN A FIELD SOUTHEAST OF THE NIXON POWER PLANT,910
Boundary Waters,908
San Diego-Barrio Logan,900
SB25 trailer at Hollenbeck School,894
Flax Pond,886
Yosemite NP - Turtleback Dome,884
SF-USD,882
DENTON MUNICIPAL AIRPORT ON AIRPORT ROAD,878
FARGO RESIDENTIAL,869
Houston Harvard Street,858
Gillette Mobile,854
Pavillion,848
Virginia City Hall,848
Jackson Mobile,848
Casper Mobile,842
PAMS-OZONE-NOX ANALYZERS ARE LOCATED AT SOUTH CAROLINE STREET.,828
Wilmington-N. Mahar Ave,813
San Luis Obispo,812
Quincy-3rd Ave NE,808
Lovell Mobile,802
Cody Mobile,800
"TVA PSD SITE IN LOUDON CO., TN",794
Atlantic Rim Meteorological Station,780
"Vogelaar Park, Glenwood Springs",770
"TVA PSD STATION NEAR NUTBUSH, TN IN HAYWOOD CO.",758
"TVA PSD SITE IN ACKERMAN , MS",754
Sheridan Mobile,744
Seedskadee,744
"TVA PSD SITE 8.0KM S-SW FROM DOWNTOWN, KNOXVILLE",736
"TVA PSD SITE AT ROSCOE TURNER AIRPORT, CORINTH, MS",732
Red Leaf AQ,730
